DateRep	WT	Alpha	Delta	BA1	BA2	BA5	BQ1__BA2_75	XBB_	BA2_86	KP3
2022-06-12	0	0	0	0.00287903853801934	0.450198231343182	0.599783065610865	0.00136097627369107	0	0	0
2022-06-13	0	0	0.00144448273766255	0.00276767871691356	0.421485848784644	0.625256428844048	0	0	0	0
2022-06-14	0	0	0.00145609415532842	0.00266300352607119	0.393124205450322	0.649884838425861	0	0	0	0
2022-06-15	0	0	0.00146765582431387	0.0025647109740432	0.36532447066153	0.673566206185805	0	0	0	0
2022-06-16	0	0	0.00147914979456513	0.00247251243013789	0.338282348176238	0.69621884596165	0	0	0	0
2022-06-17	0	0	0.00149055763844632	0.00238613295984408	0.312172582247553	0.717781461396116	0	0	0	0
2022-06-18	0	0	0.00150186046016485	0.00230531156978281	0.287144719816141	0.738212430536483	0	0	0	0
2022-06-19	0	0	0.00151304029259874	0.00222980137754695	0.263320314698295	0.757488519326016	0	0	0	0
2022-06-20	0	0	0	0.00215936972094355	0.24079162202523	0.775603169506417	0.00137127723975263	0	0	0
2022-06-21	0	0	0	0.00209379822035872	0.219621703662259	0.79256450619502	0.00137448556806031	0	0	0
2022-06-22	0	0	0	0.00203288280723786	0.199845762926852	0.808393199399451	0.00137820461812186	0	0	0
2022-06-23	0	0	0	0.00197643373103007	0.181473458464684	0.823120295408189	0.00138246143509323	0	0	0
2022-06-24	0	0	0	0.00192427555639952	0.164491914826357	0.83678511168895	0.00138728395753927	0	0	0
2022-06-25	0	0	0	0.00187624716207183	0.148869147676988	0.8494332655075	0.0013927011187745	0	0	0
2022-06-26	0	0	0	0.00183220175237384	0.134557647474275	0.861114884139555	0.00139874295523739	0	0	0
2022-06-27	0	0	0	0.00179200689235404	0.121497908026778	0.871883024753198	0.00140544072244729	0	0	0
2022-06-28	0	0	0	0.00175553664509378	0.10962173692027	0.881792315589134	0.00141282701915615	0	0	0
2022-06-29	0	0	0	0.00172258972452759	0.0988552361173573	0.890897817222658	0.00142093592037595	0	0	0
2022-06-30	0	0	0	0.00169292880230254	0.0891213878610628	0.899254093324797	0.00142980312003846	0	0	0
2022-07-01	0	0	0	0.00166633888150991	0.0803422202178471	0.906914474073026	0.00143946608412672	0	0	0
2022-07-02	0	0	0	0.00164262583763705	0.0724405568760908	0.913930491688372	0.00144996421520906	0	0	0
2022-07-03	0	0	0	0.00162161422627108	0.0653413772394235	0.9203514659518	0.00146133902940633	0	0	0
2022-07-04	0	0	0	0.00160314533405327	0.0589728263709294	0.926224217459073	0.00147363434693439	0	0	0
2022-07-05	0	0	0	0.00158707544201549	0.0532669213610483	0.93159288735018	0.00148689649748521	0	0	0
2022-07-06	0	0	0	0.00157327427448404	0.0481600027470851	0.936498843914701	0.00150117454184555	0	0	0
2022-07-07	0	0	0	0.0015616236102207	0.043592978159697	0.940980658526287	0.00151652051130126	0	0	0
2022-07-08	0	0	0	0.00155201603546979	0.0395114016611313	0.945074135571071	0.00153298966654088	0	0	0
2022-07-09	0	0	0	0.0015443538211664	0.0358654272682132	0.948812485914241	0.00155064077795553	0	0	0
2022-07-10	0	0	0	0.00153854790879532	0.0326096696640949	0.952227416789318	0.00156953642943659	0	0	0
2022-07-11	0	0	0	0.0015345169913235	0.029702999615136	0.955348538560226	0.00158974334799865	0	0	0
2022-07-12	0	0	0	0.00153218667730695	0.027108296456162	0.958202728790834	0.00161133276180793	0	0	0
2022-07-13	0	0	0	0.00153148872773061	0.0247921753789687	0.960814345532576	0.00163438078947737	0	0	0
2022-07-14	0	0	0	0.00153236035641144	0.0227247032416956	0.963205443714546	0.00165896886380277	0	0	0
2022-07-15	0	0	0	0.0015347435859063	0.020879113225932	0.965395979078095	0.00168518419346449	0	0	0
2022-07-16	0	0	0	0.00153858465184117	0.0192315258744693	0.967403998633848	0.00171312026660972	0	0	0
2022-07-17	0	0	0	0.00154383344943693	0.0177606817899743	0.969245817229603	0.00174287740066777	0	0	0
2022-07-18	0	0	0	0.00155044301676656	0.0164476894959876	0.970936180262528	0.00177456334323955	0	0	0
