anteil_positiv_tests,region,DatumDesMittwochs,Alter,typ,logit_anteil_positiv_tests,dunkelziffer_aus_posrate_logit
0.0127307833762413,Thuringia,2020-09-23,15-34,alterspezifisch,-4.35091981629762,0.613824534820754
0.01,Baden-Württemberg,2020-09-23,35-59,alterspezifisch,-4.59511985013459,0.56763332049858
0.008,Bavaria,2020-09-23,35-59,alterspezifisch,-4.82028156560504,0.525043264743766
0.017,Berlin,2020-09-23,35-59,alterspezifisch,-4.05739577609095,0.669345542073967
0.009,Brandenburg,2020-09-23,35-59,alterspezifisch,-4.70148995699377,0.547513075934301
0.027,Bremen,2020-09-23,35-59,alterspezifisch,-3.58454721618168,0.758786353483856
0.006,Hamburg,2020-09-23,35-59,alterspezifisch,-5.10997773742852,0.470246310989265
0.018,Hesse,2020-09-23,35-59,alterspezifisch,-3.9992195504583,0.680349760478158
0.002,Mecklenburg Western Pomerania,2020-09-23,35-59,alterspezifisch,-6.21260609575152,0.261680644487319
0.009,Lower Saxony,2020-09-23,35-59,alterspezifisch,-4.70148995699377,0.547513075934301
0.01,Northrhine-Westphalia,2020-09-23,35-59,alterspezifisch,-4.59511985013459,0.56763332049858
0.014,Rhineland Palatinate,2020-09-23,35-59,alterspezifisch,-4.25459902498738,0.632043919335924
0.002,Saarland,2020-09-23,35-59,alterspezifisch,-6.21260609575152,0.261680644487319
0.017,Saxony,2020-09-23,35-59,alterspezifisch,-4.05739577609095,0.669345542073967
0.004,Saxony-Anhalt,2020-09-23,35-59,alterspezifisch,-5.51745289646471,0.393171086607567
0.009,Schleswig Holstein,2020-09-23,35-59,alterspezifisch,-4.70148995699377,0.547513075934301
0.01,Thuringia,2020-09-23,35-59,alterspezifisch,-4.59511985013459,0.56763332049858
0.00727072229369601,Baden-Württemberg,2020-09-23,60-79,alterspezifisch,-4.91660235691529,0.506823880228597
0.00581337252020573,Bavaria,2020-09-23,60-79,alterspezifisch,-5.14176407238573,0.464233824473783
0.0123841266918332,Berlin,2020-09-23,60-79,alterspezifisch,-4.37887828287165,0.608536101803983
0.00654184657785944,Brandenburg,2020-09-23,60-79,alterspezifisch,-5.02297246377446,0.486703635664318
0.0197233865755701,Bremen,2020-09-23,60-79,alterspezifisch,-3.90602972296237,0.697976913213873
0.00435762805213879,Hamburg,2020-09-23,60-79,alterspezifisch,-5.43146024420921,0.409436870719282
0.0131162276662369,Hesse,2020-09-23,60-79,alterspezifisch,-4.320702057239,0.619540320208175
0.00145094443425637,Mecklenburg Western Pomerania,2020-09-23,60-79,alterspezifisch,-6.53408860253221,0.200871204217336
0.00654184657785944,Lower Saxony,2020-09-23,60-79,alterspezifisch,-5.02297246377446,0.486703635664318
0.00727072229369601,Northrhine-Westphalia,2020-09-23,60-79,alterspezifisch,-4.91660235691529,0.506823880228597
0.0101902483900644,Rhineland Palatinate,2020-09-23,60-79,alterspezifisch,-4.57608153176807,0.57123447906594
0.00145094443425637,Saarland,2020-09-23,60-79,alterspezifisch,-6.53408860253221,0.200871204217336
0.0123841266918332,Saxony,2020-09-23,60-79,alterspezifisch,-4.37887828287165,0.608536101803983
0.00290348623853211,Saxony-Anhalt,2020-09-23,60-79,alterspezifisch,-5.8389354032454,0.332361646337584
0.00654184657785944,Schleswig Holstein,2020-09-23,60-79,alterspezifisch,-5.02297246377446,0.486703635664318
0.00727072229369601,Thuringia,2020-09-23,60-79,alterspezifisch,-4.91660235691529,0.506823880228597
0.00727072229369601,Baden-Württemberg,2020-09-23,>=80,alterspezifisch,-4.91660235691529,0.506823880228597
0.00581337252020573,Bavaria,2020-09-23,>=80,alterspezifisch,-5.14176407238573,0.464233824473783
0.0123841266918332,Berlin,2020-09-23,>=80,alterspezifisch,-4.37887828287165,0.608536101803983
0.00654184657785944,Brandenburg,2020-09-23,>=80,alterspezifisch,-5.02297246377446,0.486703635664318
0.0197233865755701,Bremen,2020-09-23,>=80,alterspezifisch,-3.90602972296237,0.697976913213873
0.00435762805213879,Hamburg,2020-09-23,>=80,alterspezifisch,-5.43146024420921,0.409436870719282
0.0131162276662369,Hesse,2020-09-23,>=80,alterspezifisch,-4.320702057239,0.619540320208175
0.00145094443425637,Mecklenburg Western Pomerania,2020-09-23,>=80,alterspezifisch,-6.53408860253221,0.200871204217336
0.00654184657785944,Lower Saxony,2020-09-23,>=80,alterspezifisch,-5.02297246377446,0.486703635664318
0.00727072229369601,Northrhine-Westphalia,2020-09-23,>=80,alterspezifisch,-4.91660235691529,0.506823880228597
0.0101902483900644,Rhineland Palatinate,2020-09-23,>=80,alterspezifisch,-4.57608153176807,0.57123447906594
0.00145094443425637,Saarland,2020-09-23,>=80,alterspezifisch,-6.53408860253221,0.200871204217336
0.0123841266918332,Saxony,2020-09-23,>=80,alterspezifisch,-4.37887828287165,0.608536101803983
0.00290348623853211,Saxony-Anhalt,2020-09-23,>=80,alterspezifisch,-5.8389354032454,0.332361646337584
0.00654184657785944,Schleswig Holstein,2020-09-23,>=80,alterspezifisch,-5.02297246377446,0.486703635664318
0.00727072229369601,Thuringia,2020-09-23,>=80,alterspezifisch,-4.91660235691529,0.506823880228597
0.0116527190481726,Baden-Württemberg,2020-09-30,0-14,alterspezifisch,-4.44049458745335,0.596881181507887
0.00581943262583426,Bavaria,2020-09-30,0-14,alterspezifisch,-5.14071607745583,0.464432056053259
0.0191730950696944,Berlin,2020-09-30,0-14,alterspezifisch,-3.93488799857961,0.692518278450153
0.00748467007505032,Brandenburg,2020-09-30,0-14,alterspezifisch,-4.88738551945974,0.512350338106265
0.0124871794871795,Bremen,2020-09-30,0-14,alterspezifisch,-4.37048700253585,0.610123339210703
0.00748467007505032,Hamburg,2020-09-30,0-14,alterspezifisch,-4.88738551945974,0.512350338106265
0.0191730950696944,Hesse,2020-09-30,0-14,alterspezifisch,-3.93488799857961,0.692518278450153
0.00748467007505032,Mecklenburg Western Pomerania,2020-09-30,0-14,alterspezifisch,-4.88738551945974,0.512350338106265
0.0116527190481726,Lower Saxony,2020-09-30,0-14,alterspezifisch,-4.44049458745335,0.596881181507887
0.0133219238119373,Northrhine-Westphalia,2020-09-30,0-14,alterspezifisch,-4.30493273727844,0.622523137313348
0.0158278615501369,Rhineland Palatinate,2020-09-30,0-14,alterspezifisch,-4.13002904286489,0.655606728283651
0,Saarland,2020-09-30,0-14,alterspezifisch,-Inf,0
0.0149922646983753,Saxony,2020-09-30,0-14,alterspezifisch,-4.18511511292427,0.645187022650122
0.00498723806850376,Saxony-Anhalt,2020-09-30,0-14,alterspezifisch,-5.29587329989449,0.435083573161229
0.00498723806850376,Schleswig Holstein,2020-09-30,0-14,alterspezifisch,-5.29587329989449,0.435083573161229
0.00998464924833353,Thuringia,2020-09-30,0-14,alterspezifisch,-4.59667161042584,0.567339800096214
0.0168034118602762,Baden-Württemberg,2020-09-30,15-34,alterspezifisch,-4.0692271353758,0.667107602775342
0.00841366687004271,Bavaria,2020-09-30,15-34,alterspezifisch,-4.76944862537828,0.534658477320714
0.0275552402189337,Berlin,2020-09-30,15-34,alterspezifisch,-3.56362054650206,0.762744699717608
0.0108131734092295,Brandenburg,2020-09-30,15-34,alterspezifisch,-4.51611806738219,0.58257675937372
0.018,Bremen,2020-09-30,15-34,alterspezifisch,-3.9992195504583,0.680349760478158
0.0108131734092295,Hamburg,2020-09-30,15-34,alterspezifisch,-4.51611806738219,0.58257675937372
0.0275552402189337,Hesse,2020-09-30,15-34,alterspezifisch,-3.56362054650206,0.762744699717608
0.0108131734092295,Mecklenburg Western Pomerania,2020-09-30,15-34,alterspezifisch,-4.51611806738219,0.58257675937372
0.0168034118602762,Lower Saxony,2020-09-30,15-34,alterspezifisch,-4.0692271353758,0.667107602775342
0.0191961023142509,Northrhine-Westphalia,2020-09-30,15-34,alterspezifisch,-3.93366528520089,0.692749558580803
0.0227814972611077,Rhineland Palatinate,2020-09-30,15-34,alterspezifisch,-3.75876159078735,0.725833149551106
0,Saarland,2020-09-30,15-34,alterspezifisch,-Inf,0
