datenstand	destatis_categ	bevoelkerung	region_name	divi2model_categ	icu_categ	icuage_categ	model_categ	impf_categ	rki_categ	divi_categ	hosp_categ	dunkelziffer_categ	quelle	region_level	region_id	Bundesland	Verstaedterung_Bezeichnung	Reisegebiete_Bezeichnung	Flaeche_km2	country	Bundesland_id
2022-12-31	21-Jährige	122352	Baden-Württemberg	A18-29	Stratum_18_Bis_29	altersgruppe_18_bis_29	A15-A34	18-59	A15-A34	Erwachsene	15-34	Dunkelziffer_15-34	https://www-genesis.destatis.de/genesis/online?operation=abruftabelleBearbeiten&levelindex=1&levelid=1697646635354&auswahloperation=abruftabelleAuspraegungAuswaehlen&auswahlverzeichnis=ordnungsstruktur&auswahlziel=werteabruf&code=12411-0012&auswahltext=&werteabruf=starten#abreadcrumb	Bundesland	8	Baden-Württemberg	NA	NA	NA	Deutschland	8
2022-12-31	22-Jährige	129948	Baden-Württemberg	A18-29	Stratum_18_Bis_29	altersgruppe_18_bis_29	A15-A34	18-59	A15-A34	Erwachsene	15-34	Dunkelziffer_15-34	https://www-genesis.destatis.de/genesis/online?operation=abruftabelleBearbeiten&levelindex=1&levelid=1697646635354&auswahloperation=abruftabelleAuspraegungAuswaehlen&auswahlverzeichnis=ordnungsstruktur&auswahlziel=werteabruf&code=12411-0012&auswahltext=&werteabruf=starten#abreadcrumb	Bundesland	8	Baden-Württemberg	NA	NA	NA	Deutschland	8
2022-12-31	23-Jährige	133057	Baden-Württemberg	A18-29	Stratum_18_Bis_29	altersgruppe_18_bis_29	A15-A34	18-59	A15-A34	Erwachsene	15-34	Dunkelziffer_15-34	https://www-genesis.destatis.de/genesis/online?operation=abruftabelleBearbeiten&levelindex=1&levelid=1697646635354&auswahloperation=abruftabelleAuspraegungAuswaehlen&auswahlverzeichnis=ordnungsstruktur&auswahlziel=werteabruf&code=12411-0012&auswahltext=&werteabruf=starten#abreadcrumb	Bundesland	8	Baden-Württemberg	NA	NA	NA	Deutschland	8
2022-12-31	24-Jährige	137186	Baden-Württemberg	A18-29	Stratum_18_Bis_29	altersgruppe_18_bis_29	A15-A34	18-59	A15-A34	Erwachsene	15-34	Dunkelziffer_15-34	https://www-genesis.destatis.de/genesis/online?operation=abruftabelleBearbeiten&levelindex=1&levelid=1697646635354&auswahloperation=abruftabelleAuspraegungAuswaehlen&auswahlverzeichnis=ordnungsstruktur&auswahlziel=werteabruf&code=12411-0012&auswahltext=&werteabruf=starten#abreadcrumb	Bundesland	8	Baden-Württemberg	NA	NA	NA	Deutschland	8
2022-12-31	25-Jährige	143044	Baden-Württemberg	A18-29	Stratum_18_Bis_29	altersgruppe_18_bis_29	A15-A34	18-59	A15-A34	Erwachsene	15-34	Dunkelziffer_15-34	https://www-genesis.destatis.de/genesis/online?operation=abruftabelleBearbeiten&levelindex=1&levelid=1697646635354&auswahloperation=abruftabelleAuspraegungAuswaehlen&auswahlverzeichnis=ordnungsstruktur&auswahlziel=werteabruf&code=12411-0012&auswahltext=&werteabruf=starten#abreadcrumb	Bundesland	8	Baden-Württemberg	NA	NA	NA	Deutschland	8
2022-12-31	26-Jährige	142446	Baden-Württemberg	A18-29	Stratum_18_Bis_29	altersgruppe_18_bis_29	A15-A34	18-59	A15-A34	Erwachsene	15-34	Dunkelziffer_15-34	https://www-genesis.destatis.de/genesis/online?operation=abruftabelleBearbeiten&levelindex=1&levelid=1697646635354&auswahloperation=abruftabelleAuspraegungAuswaehlen&auswahlverzeichnis=ordnungsstruktur&auswahlziel=werteabruf&code=12411-0012&auswahltext=&werteabruf=starten#abreadcrumb	Bundesland	8	Baden-Württemberg	NA	NA	NA	Deutschland	8
2022-12-31	27-Jährige	141142	Baden-Württemberg	A18-29	Stratum_18_Bis_29	altersgruppe_18_bis_29	A15-A34	18-59	A15-A34	Erwachsene	15-34	Dunkelziffer_15-34	https://www-genesis.destatis.de/genesis/online?operation=abruftabelleBearbeiten&levelindex=1&levelid=1697646635354&auswahloperation=abruftabelleAuspraegungAuswaehlen&auswahlverzeichnis=ordnungsstruktur&auswahlziel=werteabruf&code=12411-0012&auswahltext=&werteabruf=starten#abreadcrumb	Bundesland	8	Baden-Württemberg	NA	NA	NA	Deutschland	8
2022-12-31	28-Jährige	142879	Baden-Württemberg	A18-29	Stratum_18_Bis_29	altersgruppe_18_bis_29	A15-A34	18-59	A15-A34	Erwachsene	15-34	Dunkelziffer_15-34	https://www-genesis.destatis.de/genesis/online?operation=abruftabelleBearbeiten&levelindex=1&levelid=1697646635354&auswahloperation=abruftabelleAuspraegungAuswaehlen&auswahlverzeichnis=ordnungsstruktur&auswahlziel=werteabruf&code=12411-0012&auswahltext=&werteabruf=starten#abreadcrumb	Bundesland	8	Baden-Württemberg	NA	NA	NA	Deutschland	8
2022-12-31	29-Jährige	146580	Baden-Württemberg	A18-29	Stratum_18_Bis_29	altersgruppe_18_bis_29	A15-A34	18-59	A15-A34	Erwachsene	15-34	Dunkelziffer_15-34	https://www-genesis.destatis.de/genesis/online?operation=abruftabelleBearbeiten&levelindex=1&levelid=1697646635354&auswahloperation=abruftabelleAuspraegungAuswaehlen&auswahlverzeichnis=ordnungsstruktur&auswahlziel=werteabruf&code=12411-0012&auswahltext=&werteabruf=starten#abreadcrumb	Bundesland	8	Baden-Württemberg	NA	NA	NA	Deutschland	8
2022-12-31	30-Jährige	148489	Baden-Württemberg	A30-34	Stratum_30_Bis_39	altersgruppe_30_bis_39	A15-A34	18-59	A15-A34	Erwachsene	15-34	Dunkelziffer_15-34	https://www-genesis.destatis.de/genesis/online?operation=abruftabelleBearbeiten&levelindex=1&levelid=1697646635354&auswahloperation=abruftabelleAuspraegungAuswaehlen&auswahlverzeichnis=ordnungsstruktur&auswahlziel=werteabruf&code=12411-0012&auswahltext=&werteabruf=starten#abreadcrumb	Bundesland	8	Baden-Württemberg	NA	NA	NA	Deutschland	8
