destatis_categ;divi2model_categ;icu_categ;icuage_categ;model_categ;impf_categ;rki_categ;divi_categ;hosp_categ;dunkelziffer_categ
79-Jährige;A70-79;Stratum_70_Bis_79;altersgruppe_70_bis_79;A60-A79;60+;A60-A79;Erwachsene;60-79;Dunkelziffer_60-79
80-Jährige;A80+;Stratum_80_Plus;altersgruppe_80_plus;A80+;60+;A80+;Erwachsene;80+;Dunkelziffer_>=80
81-Jährige;A80+;Stratum_80_Plus;altersgruppe_80_plus;A80+;60+;A80+;Erwachsene;80+;Dunkelziffer_>=80
82-Jährige;A80+;Stratum_80_Plus;altersgruppe_80_plus;A80+;60+;A80+;Erwachsene;80+;Dunkelziffer_>=80
83-Jährige;A80+;Stratum_80_Plus;altersgruppe_80_plus;A80+;60+;A80+;Erwachsene;80+;Dunkelziffer_>=80
84-Jährige;A80+;Stratum_80_Plus;altersgruppe_80_plus;A80+;60+;A80+;Erwachsene;80+;Dunkelziffer_>=80
85-Jährige;A80+;Stratum_80_Plus;altersgruppe_80_plus;A80+;60+;A80+;Erwachsene;80+;Dunkelziffer_>=80
86-Jährige;A80+;Stratum_80_Plus;altersgruppe_80_plus;A80+;60+;A80+;Erwachsene;80+;Dunkelziffer_>=80
87-Jährige;A80+;Stratum_80_Plus;altersgruppe_80_plus;A80+;60+;A80+;Erwachsene;80+;Dunkelziffer_>=80
88-Jährige;A80+;Stratum_80_Plus;altersgruppe_80_plus;A80+;60+;A80+;Erwachsene;80+;Dunkelziffer_>=80
89-Jährige;A80+;Stratum_80_Plus;altersgruppe_80_plus;A80+;60+;A80+;Erwachsene;80+;Dunkelziffer_>=80
90 Jahre und mehr;A80+;Stratum_80_Plus;altersgruppe_80_plus;A80+;60+;A80+;Erwachsene;80+;Dunkelziffer_>=80
Insgesamt;all;all;all;all;all;all;all;00+;Dunkelziffer_all
unbekannt;unbekannt;unbekannt;unbekannt;unbekannt;unbekannt;unbekannt;unbekannt;unbekannt;unbekannt
