Bundesland	DatumDesMittwochs	Dunkelziffer_0-14	Dunkelziffer_15-34	Dunkelziffer_35-59	Dunkelziffer_60-79	Dunkelziffer_>=80	Dunkelziffer_all
Hamburg	2021-12-01	1.22325480395976	1.17926057356004	1.21551296444852	1.16380022286966	1.09538155688503	1.17221953787107
Hamburg	2021-12-08	1.25873088573185	1.21395982457745	1.2408800432737	1.18454865983332	1.11308252754642	1.19960748817571
Hamburg	2021-12-15	1.31052753211579	1.26328155952115	1.28234874596671	1.20796264222338	1.145919063995	1.23896659409016
Hamburg	2021-12-22	1.352480703072	1.32445958282395	1.33189458909876	1.26469762618563	1.19142242939627	1.28987194499382
Hamburg	2021-12-29	1.54819430069945	1.46510514784849	1.41963549166041	1.31879591042955	1.22823581243975	1.40267492710456
Hamburg	2022-01-05	1.48905933427012	1.46630547792542	1.38522935557864	1.26038090719533	1.17076912354202	1.37498451587167
Hamburg	2022-01-12	1.45111105546598	1.49946586455444	1.43974585270658	1.29204955580887	1.19151810111888	1.40572394535923
Hamburg	2022-01-19	1.52727962569467	1.54938933457378	1.52310234302969	1.36228532836329	1.2505938267845	1.47783193983895
Hamburg	2022-01-26	1.55119618566668	1.53626094495518	1.51956036296528	1.35421847416986	1.23687304304537	1.4740082776643
Hamburg	2022-02-02	1.54221814141141	1.50442597459568	1.49004536466159	1.33577202151906	1.23519320724758	1.44286829686567
Hamburg	2022-02-09	1.49894202605801	1.48180695989808	1.47045554342157	1.33458062738294	1.25393577570433	1.41788377332183
Hamburg	2022-02-16	1.47520035786038	1.4709750151646	1.45350899955336	1.31273159199769	1.24105144317857	1.39349965571848
Hamburg	2022-02-23	1.47712769411583	1.4717857704106	1.45433517867339	1.32079904228102	1.25847285747329	1.39119830704198
Hamburg	2022-03-02	1.49286002582229	1.49967777903737	1.45955283815797	1.32214411182158	1.23860321061323	1.40876893870592
Hamburg	2022-03-09	1.47598935403444	1.54267509614496	1.50934772416513	1.39031268477874	1.29139551916822	1.44513896162462
Hamburg	2022-03-16	1.49307001802067	1.54442630102286	1.53152566694107	1.43077843935271	1.32503779880839	1.46257947248777
Hamburg	2022-03-23	1.50980531633464	1.56206346349055	1.55807098983123	1.45975884829025	1.35809265565957	1.48473616320195
Hamburg	2022-03-30	1.47816111717612	1.53332840441878	1.53178403606183	1.432086566299	1.33762833611814	1.45650456942453
Hamburg	2022-04-06	1.50219573215193	1.54234444565147	1.53316535177644	1.41603395213034	1.32335139754341	1.45954055764885
Hamburg	2022-04-13	1.57611553643541	1.57566815421419	1.56556979964947	1.43718846645011	1.32294508313079	1.49554128440778
Hamburg	2022-04-20	1.54459578906307	1.54692437234336	1.53014616982547	1.39136546925848	1.28083220431497	1.46105962448319
Hamburg	2022-04-27	1.42757459780791	1.47768181548539	1.46016160078228	1.33937914939382	1.24212011254679	1.3850444401148
Hamburg	2022-05-04	1.41730198200581	1.34571222761435	1.3410894856751	1.20143967087185	1.08631697305022	1.27564419907721
Hamburg	2022-05-11	1.35350860920252	1.29880870586222	1.29565613233553	1.14750248203605	1.02898510915813	1.22698581619261
Hamburg	2022-05-18	1.2912511460402	1.24601498046294	1.23753625937221	1.09265308912335	0.979000325870025	1.16982806794584
Hamburg	2022-05-25	1.21488760469228	1.1955006306848	1.18111373207185	1.02838418077884	0.912397509083515	1.10722191719609
Hamburg	2022-06-01	1.25927239556491	1.28782570633763	1.27207690671964	1.11578717270961	0.952720200675927	1.19519822613744
Hamburg	2022-06-08	1.3100563516874	1.33779099301969	1.31418089211202	1.13375861040231	0.958553474580963	1.2330228755308
Hamburg	2022-06-15	1.35178626309547	1.35755704975644	1.35226062637954	1.18532684620352	1.00724492402496	1.26836786460167
Hamburg	2022-06-22	1.39538279712559	1.4123248452227	1.40545827689468	1.25142655541842	1.09136524880376	1.32798291744856
Hamburg	2022-06-29	1.38234149347431	1.40287757641194	1.40749781528453	1.2550968027128	1.09626118321352	1.32386535856922
Hamburg	2022-07-06	1.38227504574764	1.38885487066287	1.40424140703609	1.25684229306042	1.10843298274346	1.32055253612349
Hamburg	2022-07-13	1.37579684222744	1.38504265337533	1.39977416760094	1.2636447646107	1.12848065821793	1.31888964757506
Hamburg	2022-07-20	1.36433464336884	1.37552672931897	1.39776922720975	1.26936417891252	1.15573435180306	1.31638698894014
Hamburg	2022-07-27	1.27521105963782	1.31562230711329	1.32774005480965	1.19406332964221	1.10150949144274	1.24771804522914
Hamburg	2022-08-03	1.25016981322208	1.29407813604939	1.30550316638025	1.1729331817338	1.08777968289361	1.22495180388803
Hamburg	2022-08-10	1.28415488772785	1.2836229020017	1.29290050034236	1.15480344719149	1.07207453863564	1.21250548222588
Hamburg	2022-08-17	1.31931313421961	1.27250065426949	1.28352632087803	1.14613058649804	1.06324476154959	1.20611629113941
Hamburg	2022-08-24	1.26892969810925	1.22173903220651	1.23406254131251	1.09332840256436	1.00001413038045	1.15758435582055
Hamburg	2022-08-31	1.20508714175877	1.16580408801962	1.18310849212701	1.05463690745441	0.958254111312437	1.10870956297345
Hamburg	2022-09-07	1.18879293453659	1.15398094196508	1.17998764972602	1.05045798222361	0.953382551655289	1.10118757044915
Hamburg	2022-09-14	1.18315033948968	1.14478538424833	1.178984633087	1.07093757918939	0.953445460572994	1.10422173240018
Hamburg	2022-09-21	1.21385506547203	1.18335623251827	1.24555067142701	1.14404191862946	1.02262643052752	1.1649891366733
